Conditions_mapped_concept_id,Conditions_mapped_official_concept,Phecode Category,PhecodeString
C0339543,Epiretinal Membrane,362,Other retinal disorders
C0221571,Nervous system problem,781,Symptoms involving nervous and musculoskeletal systems
C0034069,Pulmonary Fibrosis,502,Postinflammatory pulmonary fibrosis
C0395797,"Ear, nose and throat disorder",388,Other disorders of ear
C0395797,"Ear, nose and throat disorder",479,Other upper respiratory disease
C0038525,Subarachnoid Hemorrhage,656,Other perinatal conditions of fetus or newborn
C0038525,Subarachnoid Hemorrhage,430,Intracranial hemorrhage
C0017411,Female Genital Diseases,619,Noninflammatory female genital disorders
C1532253,Sedentary lifestyle,1010,Other tests
C0032320,Pneumoperitoneum,568,Other disorders of peritoneum
C0032320,Pneumoperitoneum,656,Other perinatal conditions of fetus or newborn
C0020456,Hyperglycemia,250,Diabetes mellitus
C0009376,Colonic Polyps,208,Benign neoplasm of colon
C0012242,Digestive System Disorders,569,Other disorders of intestine
C0035204,Respiration Disorders,519,"Other diseases of respiratory system, not elsewhere classified"
C0027092,Myopia,367,Disorders of refraction and accommodation; blindness and low vision
C0242379,Malignant neoplasm of lung,165,Cancer within the respiratory system
C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",250,Diabetes mellitus
C0876926,Traumatic Brain Injury,819,Skull and face fracture and other intercranial injury
C0011615,"Dermatitis, Atopic",939,Atopic/contact dermatitis due to other or unspecified
C0018801,Heart failure,428,Congestive heart failure; nonhypertensive
C0017154,"Gastritis, Atrophic",535,Gastritis and duodenitis
C0006142,Malignant neoplasm of breast,174,Breast cancer
C1956346,Coronary Artery Disease,411,Ischemic Heart Disease
C0400966,Non-alcoholic Fatty Liver Disease,571,Chronic liver disease and cirrhosis
C0007682,CNS disorder,349,Other and unspecified disorders of the nervous system
C0524528,Pervasive Development Disorder,313,Pervasive developmental disorders
C0024636,Malocclusion,524,"Dentofacial anomalies, including malocclusion"
C0027651,Neoplasms,195,"Cancer, suspected or other"
C0016658,Fracture,1009,"Injury, NOS"
C0019693,HIV Infections,071,Human immunodeficiency virus [HIV] disease
C0149871,Deep Vein Thrombosis,452,Other venous embolism and thrombosis
C0348393,Malignant tumor of lymphoid hemopoietic and related tissue,202,"Cancer of other lymphoid, histiocytic tissue"
C0022578,Keratoconus,364,Corneal opacity and other disorders of cornea
C0878544,Cardiomyopathies,425,Cardiomyopathy
C0878544,Cardiomyopathies,414,Other forms of chronic heart disease
C0023487,Acute Promyelocytic Leukemia,204,Leukemia
C0152021,Congenital heart disease,747,Cardiac and circulatory congenital anomalies
C0010054,Coronary Arteriosclerosis,411,Ischemic Heart Disease
C0010054,Coronary Arteriosclerosis,573,Other disorders of liver
C1135191,"Heart Failure, Systolic",428,Congestive heart failure; nonhypertensive
C0020542,Pulmonary Hypertension,415,Pulmonary heart disease
C0235522,Disorder of vein,459,Other disorders of circulatory system
C0235522,Disorder of vein,456,Chronic venous insufficiency [CVI]
C0376358,Malignant neoplasm of prostate,185,Cancer of prostate
C0004936,Mental disorders,300,"Anxiety, phobic and dissociative disorders"
C0004936,Mental disorders,300,Anxiety disorders
C0011847,Diabetes,250,Diabetes mellitus
C0019557,Hip Fractures,800,Fracture of lower limb
C0015397,Disorder of eye,379,Other disorders of eye
C0015397,Disorder of eye,360,Disorders of the globe
C0011854,"Diabetes Mellitus, Insulin-Dependent",250,Diabetes mellitus
C0011334,Dental caries,521,Diseases of hard tissues of teeth
C0036690,Septicemia,994,Sepsis and SIRS
C0036690,Septicemia,038,Septicemia
C0347625,Contusion of lung,1008,Crushing or internal injury to organs
C0409959,"Osteoarthritis, Knee",740,Osteoarthrosis
C0030567,Parkinson Disease,332,Parkinson's disease
C0020538,Hypertensive disease,401,Hypertension
C0023890,Liver Cirrhosis,571,Chronic liver disease and cirrhosis
C0003469,Anxiety Disorders,300,"Anxiety, phobic and dissociative disorders"
C0003469,Anxiety Disorders,300,Anxiety disorders
C0155626,Acute myocardial infarction,411,Ischemic Heart Disease
C0011053,Deafness,389,Hearing loss
C0011581,Depressive disorder,300,"Anxiety, phobic and dissociative disorders"
C0011581,Depressive disorder,300,Anxiety disorders
C1269683,Major Depressive Disorder,296,Mood disorders
C0029408,Degenerative polyarthritis,740,Osteoarthrosis
C0015806,Femoral Neck Fractures,800,Fracture of lower limb
C0041327,"Tuberculosis, Pulmonary",010,Tuberculosis
C0024115,Lung diseases,510,Other diseases of lung
C0008325,Cholecystitis,574,Cholelithiasis and cholecystitis
C0031090,Periodontal Diseases,523,Gingival and periodontal diseases
C0332679,Crushing injury,1009,"Injury, NOS"
C0086543,Cataract,366,Cataract
C0149931,Migraine Disorders,340,Migraine
C0151779,Cutaneous Melanoma,172,Skin cancer
C0162316,Iron deficiency anemia,280,Iron deficiency anemias
C0030201,Postoperative Pain,338,Pain
C0018889,Helminthiasis,134,Helminthiases
C0006826,Malignant Neoplasms,195,"Cancer, suspected or other"
C0007115,Malignant neoplasm of thyroid,193,Thyroid cancer
C0022660,"Kidney Failure, Acute",585,Renal failure
C0011206,Delirium,292,Neurological disorders
C0031099,Periodontitis,523,Gingival and periodontal diseases
C0153381,Malignant neoplasm of mouth,145,Cancer of mouth
C0038454,Cerebrovascular accident,433,Cerebrovascular disease
C2004456,Macronodular cirrhosis,571,Chronic liver disease and cirrhosis
C0027051,Myocardial Infarction,411,Ischemic Heart Disease
C0032310,"Pneumonia, Viral",480,Pneumonia
C4554531,Pressure injury,707,Chronic ulcer of skin
C1561643,Chronic Kidney Diseases,585,Renal failure
C0003467,Anxiety,300,"Anxiety, phobic and dissociative disorders"
C0003467,Anxiety,300,Anxiety disorders
C0003873,Rheumatoid Arthritis,714,Rheumatoid arthritis and other inflammatory polyarthropathies
C0013395,Dyspepsia,785,Abdominal pain
C0013395,Dyspepsia,536,Disorders of function of stomach
C0242383,Age related macular degeneration,362,Other retinal disorders
C0018674,Craniocerebral Trauma,1009,"Injury, NOS"
C0008031,Chest Pain,418,Nonspecific chest pain
C0362046,Prediabetes syndrome,271,Disorders of carbohydrate transport and metabolism
C0007789,Cerebral Palsy,343,Infantile cerebral palsy
C2239176,Liver carcinoma,155,Cancer of liver and intrahepatic bile duct
C0271084,Exudative age-related macular degeneration,362,Other retinal disorders
C0016053,Fibromyalgia,770,Myalgia and myositis unspecified
C0021843,Intestinal Obstruction,560,Intestinal obstruction without mention of hernia
C2004345,phonological developmental disorder,315,Develomental delays and disorders
C0837018,Type 1 diabetes mellitus with hypoglycemia,250,Diabetes mellitus
C0036341,Schizophrenia,295,Schizophrenia and other psychotic disorders
C0007820,Cerebrovascular Disorders,433,Cerebrovascular disease
C0004623,Bacterial Infections,041,Bacterial infection NOS
C0032326,Pneumothorax,506,Empyema and pneumothorax
C0264490,Acute respiratory failure,509,"Respiratory failure, insufficiency, arrest"
C0032961,Pregnancy,1010,Other tests
C0032961,Pregnancy,656,Other perinatal conditions of fetus or newborn
C2350019,Solitary Pulmonary Nodule,514,Abnormal findings examination of lungs
C0005684,Malignant neoplasm of urinary bladder,189,Cancer of urinary organs (incl. kidney and bladder)
C0159020,Convulsions in the newborn,656,Other perinatal conditions of fetus or newborn
C0017601,Glaucoma,365,Glaucoma
C0030286,Pancreatic Diseases,577,Diseases of pancreas
C0043144,Wheezing,512,Other symptoms of respiratory system
C0346156,Benign neoplasm of breast,610,Benign mammary dysplasias
C0017574,Gingivitis,523,Gingival and periodontal diseases
C0007847,Malignant tumor of cervix,180,Cervical cancer and dysplasia
C1263846,Attention deficit hyperactivity disorder,313,Pervasive developmental disorders
C4268640,Mixed irritable bowel syndrome,564,Functional digestive disorders
C0036974,Shock,797,Shock
C1404117,"transplant; failure, kidney",587,Kidney replaced by transpant
C1404117,"transplant; failure, kidney",851,Complications of transplants and reattached limbs
C0080178,Spina Bifida,752,Nervous system congenital anomalies
C0028754,Obesity,278,"Overweight, obesity and other hyperalimentation"
C0011570,Mental Depression,296,Mood disorders
C0026769,Multiple Sclerosis,335,Multiple sclerosis
C0264492,Chronic respiratory failure,509,"Respiratory failure, insufficiency, arrest"
C0024117,Chronic Obstructive Airway Disease,496,Chronic airway obstruction
C0018939,Hematological Disease,289,Other diseases of blood and blood-forming organs
C0022783,Vulvar Lichen Sclerosus,624,Symptoms involving female genital tract
C0020473,Hyperlipidemia,272,Disorders of lipoid metabolism
C0009324,Ulcerative Colitis,555,Inflammatory bowel disease and other gastroenteritis and colitis
C0026691,Mucocutaneous Lymph Node Syndrome,446,Polyarteritis nodosa and allied conditions
C0026764,Multiple Myeloma,204,Leukemia
C0013238,Dry Eye Syndromes,375,Disorders of lacrimal system
C0220650,Metastatic malignant neoplasm to brain,198,Secondary malignant neoplasm
C0013456,Earache,382,Otalgia
C0018799,Heart Diseases,414,Other forms of chronic heart disease
C0040264,Tinnitus,389,Hearing loss
C0018784,Sensorineural Hearing Loss (disorder),389,Hearing loss
C0156353,Uterovaginal prolapse,618,Genital prolapse
C0014130,Endocrine System Diseases,259,Other endocrine disorders
C0024623,Malignant neoplasm of stomach,151,Cancer of stomach
C0007859,Neck Pain,761,Cervicalgia
C0221244,Seborrheic dermatitis of scalp,690,Erythematosquamous dermatosis
C0007102,Malignant tumor of colon,153,Colorectal cancer
C0023418,leukemia,204,Leukemia
C1145670,Respiratory Failure,509,"Respiratory failure, insufficiency, arrest"
C0037769,West Syndrome,345,"Epilepsy, recurrent seizures, convulsions"
C0020550,Hyperthyroidism,242,Thyrotoxicosis with or without goiter
C0011265,Presenile dementia,290,Delirium dementia and amnestic and other cognitive disorders
C0040997,Trigeminal Neuralgia,352,Disorders of other cranial nerves
C0848558,Hypospadias,751,Genitourinary congenital anomalies
C0023903,Liver neoplasms,155,Cancer of liver and intrahepatic bile duct
C0206677,Adenomatous Polyps,221,Benign neoplasm of other female genital organs
C0399523,Class I malocclusion,524,"Dentofacial anomalies, including malocclusion"
C0017665,Membranous glomerulonephritis,580,Nephritis; nephrosis; renal sclerosis
C1535926,Neurodevelopmental Disorders,315,Develomental delays and disorders
C0006267,Bronchiectasis,496,Chronic airway obstruction
C0004604,Back Pain,760,Back pain
C0152451,Chronic glomerulonephritis,580,Nephritis; nephrosis; renal sclerosis
C0267725,Paraesophageal hernia,550,Abdominal hernia
C0034065,Pulmonary Embolism,415,Pulmonary heart disease
C1140680,Malignant neoplasm of ovary,184,Cancer of other female genital organs
C1270972,Mild cognitive disorder,292,Neurological disorders
C0013404,Dyspnea,512,Other symptoms of respiratory system
C0155778,Varicose veins of lower extremity,454,Varicose veins
C0338908,Mixed anxiety and depressive disorder,300,"Anxiety, phobic and dissociative disorders"
C0338908,Mixed anxiety and depressive disorder,300,Anxiety disorders
C0010346,Crohn Disease,555,Inflammatory bowel disease and other gastroenteritis and colitis
C0002395,Alzheimer's Disease,290,Delirium dementia and amnestic and other cognitive disorders
C0000768,Congenital Abnormality,759,Other and unspecified congenital anomalies
C0271429,Acute otitis media,381,Otitis media and Eustachian tube disorders
C0403447,Chronic Kidney Insufficiency,585,Renal failure
C0003864,Arthritis,740,Osteoarthrosis
C0000737,Abdominal Pain,785,Abdominal pain
C0401146,Functional constipation,560,Intestinal obstruction without mention of hernia
C0029888,Suppurative otitis media,381,Otitis media and Eustachian tube disorders
C0035220,"Respiratory Distress Syndrome, Newborn",661,Fetal distress and abnormal forces of labor
C0035220,"Respiratory Distress Syndrome, Newborn",656,Other perinatal conditions of fetus or newborn
C0153633,Malignant neoplasm of brain,191,Manlignant and unknown neoplasms of brain and nervous system
C0037316,Sleep Deprivation,1010,Other tests
C0026896,Myasthenia Gravis,358,Myoneural disorders
C0006111,Brain Diseases,348,Other conditions of brain
C0002871,Anemia,285,Other anemias
C0917801,Sleeplessness,327,Sleep disorders
C0017181,Gastrointestinal Hemorrhage,578,Gastrointestinal hemorrhage
C0264408,Childhood asthma,495,Asthma
C0032227,Pleural effusion (disorder),507,Pleurisy; pleural effusion
C0520679,"Sleep Apnea, Obstructive",327,Sleep disorders
C0040128,Thyroid Diseases,246,Other disorders of thyroid
C0018808,Heart murmur,396,Abnormal heart sounds
C0085207,Gestational Diabetes,649,"Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium"
C0022104,Irritable Bowel Syndrome,564,Functional digestive disorders
C0018099,Gout,274,Gout and other crystal arthropathies
C0160405,Injury of spleen,1008,Crushing or internal injury to organs
C0685938,Malignant neoplasm of gastrointestinal tract,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
C0032273,Pneumoconiosis,500,Lung disease due to external agents
C0003811,Cardiac Arrhythmia,427,Cardiac dysrhythmias
C0525045,Mood Disorders,296,Mood disorders
C0040335,Encounter due to tobacco use,1010,Other tests
C0270327,Bedwetting,599,Other symptoms/disorders or the urinary system
C3161235,CLABSI - central line associated bloodstream infection,1011,Complications of surgical and medical procedures
C4237238,"Opioid use disorder, moderate",316,Substance addiction and disorders
C0035309,Retinal Diseases,362,Other retinal disorders
C0686619,Lymph Node Metastasis,198,Secondary malignant neoplasm
C0023467,"Leukemia, Myelocytic, Acute",204,Leukemia
C0002962,Angina Pectoris,411,Ischemic Heart Disease
C1135196,"Heart Failure, Diastolic",428,Congestive heart failure; nonhypertensive
C3839346,Heart failure with reduced ejection fraction,428,Congestive heart failure; nonhypertensive
C0003850,Arteriosclerosis,440,Atherosclerosis
C0158646,Cleft palate with cleft lip,749,Congenital anomalies of face and neck
C0003123,Anorexia,260,Protein-calorie malnutrition
C0008350,Cholelithiasis,574,Cholelithiasis and cholecystitis
C0036330,Schistosomiasis mansoni,134,Helminthiases
C0018681,Headache,339,Other headache syndromes
C1253936,Hydrarthrosis,741,Symptoms and disorders of the joints
C0030305,Pancreatitis,577,Diseases of pancreas
C0018790,Cardiac Arrest,427,Cardiac dysrhythmias
C0023051,Laryngeal Diseases,473,Diseases of the larynx and vocal cords
C0029456,Osteoporosis,743,"Osteoporosis, osteopenia and pathological fracture"
C0238198,Gastrointestinal Stromal Tumors,170,Cancer of bone and connective tissue
C0239946,"Fibrosis, Liver",571,Chronic liver disease and cirrhosis
C0028840,Ocular Hypertension,365,Glaucoma
C0034642,Rales,429,Ill-defined descriptions and complications of heart disease
C0042029,Urinary tract infection,591,Urinary tract infection
C0345905,Intrahepatic Cholangiocarcinoma,155,Cancer of liver and intrahepatic bile duct
C0023212,Left-Sided Heart Failure,428,Congestive heart failure; nonhypertensive
C0029882,Otitis Media,381,Otitis media and Eustachian tube disorders
C0206062,"Lung Diseases, Interstitial",504,Other alveolar and parietoalveolar pneumonopathy
C0042024,Urinary Incontinence,599,Other symptoms/disorders or the urinary system
C2364016,Systemic sclerosis [scleroderma],709,Diffuse diseases of connective tissue
C0020621,Hypokalemia,276,"Disorders of fluid, electrolyte, and acid-base balance"
C0015672,Fatigue,798,Malaise and fatigue
C0026654,Moyamoya Disease,433,Cerebrovascular disease
C0149521,"Pancreatitis, Chronic",577,Diseases of pancreas
C0266449,Congenital anomaly of brain,752,Nervous system congenital anomalies
C0010034,Corneal Diseases,364,Corneal opacity and other disorders of cornea
C0152169,Renal Colic,594,Urinary calculus
C0011269,"Dementia, Vascular",290,Delirium dementia and amnestic and other cognitive disorders
C0152177,Trigeminal Nerve Disorder,352,Disorders of other cranial nerves
C0018378,Guillain-Barre Syndrome,357,Inflammatory and toxic neuropathy
C0035222,"Respiratory Distress Syndrome, Adult",509,"Respiratory failure, insufficiency, arrest"
C0022408,Arthropathy,716,Other arthropathies
C0022408,Arthropathy,741,Symptoms and disorders of the joints
C0022408,Arthropathy,740,Osteoarthrosis
C1955811,Dental implant failure NOS,525,Other diseases of the teeth and supporting structures
C2882263,cardiac arrest due to underlying cardiac condition,427,Cardiac dysrhythmias
C1719523,Endodontic underfill,526,Diseases of the jaws
C0022806,Kwashiorkor,260,Protein-calorie malnutrition
C1704272,Benign Prostatic Hyperplasia,600,Hyperplasia of prostate
C0039231,Tachycardia,427,Cardiac dysrhythmias
C0023532,"Leukoplakia, Oral",528,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue"
C0041912,Upper Respiratory Infections,465,Acute upper respiratory infections of multiple or unspecified sites
C0085639,Falls,781,Symptoms involving nervous and musculoskeletal systems
C0085639,Falls,1015,Effects of other external causes
C0025222,Melena,578,Gastrointestinal hemorrhage
C0022661,"Kidney Failure, Chronic",585,Renal failure
C0232255,Innocent Murmurs,396,Abnormal heart sounds
C0348898,Irritable bowel syndrome with diarrhea,564,Functional digestive disorders
C0273115,Lung Injury,1008,Crushing or internal injury to organs
C0018798,Congenital Heart Defects,747,Cardiac and circulatory congenital anomalies
C4237239,"Opioid use disorder, severe",316,Substance addiction and disorders
C0264886,Conduction disorder of the heart,426,Cardiac conduction disorders
C0037315,Sleep Apnea Syndromes,327,Sleep disorders
C0010200,Coughing,512,Other symptoms of respiratory system
C0000921,Accidental Falls,1015,Effects of other external causes
C0042571,Vertigo,386,Vertiginous syndromes and other disorders of vestibular system
C0017168,Gastroesophageal reflux disease,530,Diseases of esophagus
C0016034,Breast Fibrocystic Disease,610,Benign mammary dysplasias
C0020255,Hydrocephalus,331,Other cerebral degenerations
C0004144,Atelectasis,508,Pulmonary collapse; interstitial and compensatory emphysema
C0022658,Kidney Diseases,580,Nephritis; nephrosis; renal sclerosis
C0022658,Kidney Diseases,586,Other disorders of the kidney and ureters
C0035078,Kidney Failure,585,Renal failure
C2921627,Clinically isolated syndrome,341,Other demyelinating diseases of central nervous system
C0017921,Glycogen storage disease type II,271,Disorders of carbohydrate transport and metabolism
C0085669,Acute leukemia,204,Leukemia
C0079924,Oligohydramnios,653,Problems associated with amniotic cavity and membranes
C0036439,"Scoliosis, unspecified",737,Curvature of spine
C0029883,Otitis Media with Effusion,381,Otitis media and Eustachian tube disorders
C0030283,Pancreatic Cyst,577,Diseases of pancreas
C0018572,"Hand, Foot and Mouth Disease",079,Viral infection
C0024299,Lymphoma,202,"Cancer of other lymphoid, histiocytic tissue"
C0085220,Cerebral Amyloid Angiopathy,433,Cerebrovascular disease
C0015469,Facial paralysis,352,Disorders of other cranial nerves
C0007868,Cervical dysplasia,180,Cervical cancer and dysplasia
C1719522,Endodontic overfill,526,Diseases of the jaws
C0428977,Bradycardia,427,Cardiac dysrhythmias
C0155870,Pneumonia and influenza,481,Influenza
C0009806,Constipation,563,Constipation
C0029121,Oppositional Defiant Disorder,312,Conduct disorders
C0021831,Intestinal Diseases,569,Other disorders of intestine
C4268639,irritable bowel syndrome with constipation,564,Functional digestive disorders
C0042594,Vestibular Diseases,386,Vertiginous syndromes and other disorders of vestibular system
C2960127,Heart failure with normal ejection fraction,428,Congestive heart failure; nonhypertensive
C0011168,Deglutition Disorders,532,Dysphagia
C0007785,Cerebral Infarction,433,Cerebrovascular disease
C0476254,Dyslexia,315,Develomental delays and disorders
C0020224,Polyhydramnios,653,Problems associated with amniotic cavity and membranes
C0003615,Appendicitis,540,Appendiceal conditions
C0023895,Liver diseases,573,Other disorders of liver
C0399526,Class III malocclusion,524,"Dentofacial anomalies, including malocclusion"
C0031030,Periapical Periodontitis,523,Gingival and periodontal diseases
C0033036,Atrial Premature Complexes,427,Cardiac dysrhythmias
C0011991,Diarrhea,561,Symptoms involving digestive system
C0497406,Overweight,278,"Overweight, obesity and other hyperalimentation"
C0004095,Asthenopia,368,Visual disturbances
C0018800,Cardiomegaly,416,Cardiomegaly
C0026635,Mouth Breathing,293,Symptoms involving head and neck
C0006114,Cerebral Edema,348,Other conditions of brain
C0399532,Midline deviation of dental arch,524,"Dentofacial anomalies, including malocclusion"
C0264556,Acute pneumothorax,506,Empyema and pneumothorax
C0154778,"Myopia, Degenerative",360,Disorders of the globe
C0017614,"Glaucoma, Suspect",365,Glaucoma
C0018802,Congestive heart failure,428,Congestive heart failure; nonhypertensive
C0151636,Premature ventricular contractions,427,Cardiac dysrhythmias
C0029410,Osteoarthritis of hip,740,Osteoarthrosis
C0270611,Brain Injuries,819,Skull and face fracture and other intercranial injury
C0009676,Confusion,292,Neurological disorders
C0009460,Communication impairment,315,Develomental delays and disorders
C0041952,Ureterolithiasis,594,Urinary calculus
C0206061,"Pneumonia, Interstitial",504,Other alveolar and parietoalveolar pneumonopathy
C0034063,Pulmonary Edema,503,Pulmonary congestion and hypostasis
C0264523,Pulmonary ossification,510,Other diseases of lung
C0039070,Syncope,788,Syncope and collapse
C1701940,"Pneumonia, Ventilator-Associated",519,"Other diseases of respiratory system, not elsewhere classified"
C0025289,Meningitis,320,Meningitis
C0007193,"Cardiomyopathy, Dilated",425,Cardiomyopathy
